position,x,y
0,0,0
1,0.1783133154674095,0.022292993630573247
2,0.10910296257706276,0.06369426751592357
3,0.20029396447583844,0.12420382165605096
4,0.08680996894648949,0.009554140127388535
5,0.18235137022037487,0.12101910828025478
6,0.1273071351888564,0.05732484076433121
7,0.18235137022037487,0.022292993630573247
8,0.4225864471201156,0.4394904458598726
9,0.1143067033293416,0
10,0.09317939569808183,0.01592356687898089
11,0.12269515745741663,0.03503184713375796
12,0.08999468232228565,0.0031847133757961785
13,0.11627496444001005,0.03184713375796178
14,0.09716668418523296,0.01592356687898089
15,0.4627153557733633,0.06963702357893133
16,0.5857202904121005,0.3841617459221065
17,0.4719465858562605,0.06517229813738139
18,0.240179164352091,0.022292993630573247
19,0.22077892508424438,0.03184713375796178
20,0.16877914829809285,0.0031847133757961785
21,0.2493809574456184,0.028662420382165606
22,0.1975140820370748,0.022292993630573247
23,0.2268819263991028,0.0031847133757961785
24,0.5800429658768843,0.3343949044585987
25,0.5332823158339115,0.006369426751592357
26,0.603166126778693,0.009554140127388535
27,0.875912614680625,0.025477707006369428
28,1.4203157064603227,0.009554140127388535
29,3.5407540389576013,0.03503184713375796
30,3.836036473245133,0.009554140127388535
31,1.1109023394160662,0.06793034082459297
32,0.7402233982421308,0.39078076674033274
33,0.5351144528218117,0.06602563951455055
34,0.10367793595641332,0.012738853503184714
35,0.1207365154426955,0.044585987261146494
36,0.033187571000312804,0.006369426751592357
37,0.08570466830893751,0.044585987261146494
38,0.07068838351180456,0.01910828025477707
39,0.1089049440213587,0
40,0.47557985820219195,0.3343949044585987
41,0.05590723531947064,0.0031847133757961785
42,0.06546137544685918,0.025477707006369428
43,0.09412379582902478,0.07643312101910828
44,0.042741711127701344,0.0031847133757961785
45,0.10367793595641332,0.08598726114649681
46,0.05866527800668223,0.012738853503184714
47,0.11494288327741747,0.3105157382480847
48,0.8821433413799507,0.7072357651537323
49,0.19038503003730925,0.3387867283531861
50,0.4295715201553449,0.5490376651265746
51,0.21258618364425688,0.4312219543165156
52,0.19299508985138175,0.4325261933654111
53,0.3448859153969902,0.6153160762336799
54,0.48469392150705803,0.7679045055135088
55,0.4641129942452066,1.4450648759772118
56,1.4890968296249938,3.677043079758612
57,2.0867372521698253,10.752420940535398
58,10.393974299081206,2.970017128904553
59,17.987417522518022,0.9110244163808046
60,7.971236763055497,0.9168481955750376
